Opening log at 2016-05-07 20:53:43.740342
[2016-05-07 21:19:36.403631] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:37.778645] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:41.779151] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:41.779242] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:41.779299] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:19:41.779351] <172.16.103.57:59238>: Released j
[2016-05-07 21:19:42.279019] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:42.279116] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:19:42.279149] <172.16.103.57:59238>: Released j
[2016-05-07 21:19:42.279177] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:19:42.279306] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:42.279408] <172.16.103.57:59238>: Released j
[2016-05-07 21:19:42.304764] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:42.393090] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:42.471380] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:42.641921] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:42.722363] <172.16.103.57:59238>: Pressed t
[2016-05-07 21:19:42.911635] <172.16.103.57:59238>: Released t
[2016-05-07 21:19:42.931460] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:42.950766] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:43.783863] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:43.785949] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:43.786013] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:43.786048] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:19:43.786100] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:43.824063] <172.16.103.57:59238>: Released d
[2016-05-07 21:19:43.985229] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:43.993999] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:44.016355] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:44.034456] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:44.475175] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:19:44.517065] <172.16.103.57:59238>: Pressed ,
[2016-05-07 21:19:44.534431] <172.16.103.57:59238>: Released ,
[2016-05-07 21:19:44.545248] <172.16.103.57:59238>: Released j
[2016-05-07 21:19:44.813164] <172.16.103.57:59238>: Pressed v
[2016-05-07 21:19:44.824509] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:44.843711] <172.16.103.57:59238>: Released v
[2016-05-07 21:19:44.885215] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:46.278926] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:46.411265] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:47.813973] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:48.279721] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:48.279802] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:19:48.282921] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:48.282966] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:48.282991] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:48.779298] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:48.779377] <172.16.103.57:59238>: Released e
[2016-05-07 21:19:48.779408] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:48.779436] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:19:48.779462] <172.16.103.57:59238>: Released l
[2016-05-07 21:19:48.779489] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:49.118822] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:49.119302] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:49.267715] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:49.286279] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:49.406360] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:49.426463] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:50.278853] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:19:50.278930] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:19:50.278962] <172.16.103.57:59238>: Released d
[2016-05-07 21:19:50.279033] <172.16.103.57:59238>: Released e
[2016-05-07 21:19:50.279131] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:19:50.279216] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:50.307386] <172.16.103.57:59238>: Released l
[2016-05-07 21:19:50.327180] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:50.487796] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:19:50.496636] <172.16.103.57:59238>: Pressed 3
[2016-05-07 21:19:50.515426] <172.16.103.57:59238>: Pressed w
[2016-05-07 21:19:50.525991] <172.16.103.57:59238>: Released e
[2016-05-07 21:19:50.535871] <172.16.103.57:59238>: Released 3
[2016-05-07 21:19:50.554122] <172.16.103.57:59238>: Pressed 2
[2016-05-07 21:19:50.614301] <172.16.103.57:59238>: Released w
[2016-05-07 21:19:50.623066] <172.16.103.57:59238>: Released 2
[2016-05-07 21:19:50.781920] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:50.792288] <172.16.103.57:59238>: Pressed w
[2016-05-07 21:19:50.822433] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:50.831472] <172.16.103.57:59238>: Released w
[2016-05-07 21:19:50.970579] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:50.979873] <172.16.103.57:59238>: Pressed 8
[2016-05-07 21:19:51.780920] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:51.780999] <172.16.103.57:59238>: Released 8
[2016-05-07 21:19:51.781061] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:51.781095] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:51.781122] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:51.781150] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:51.811385] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:51.819026] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:51.840127] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:51.850112] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:52.499428] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:19:52.667865] <172.16.103.57:59238>: Released e
[2016-05-07 21:19:53.026733] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:53.136848] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:53.317967] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:53.467206] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:53.477839] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:53.616219] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:53.636168] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:53.765324] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:53.776019] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:54.781020] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:54.781103] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:54.781178] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:19:54.781236] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:54.781267] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:19:54.781297] <172.16.103.57:59238>: Released i
[2016-05-07 21:19:54.807917] <172.16.103.57:59238>: Released r
[2016-05-07 21:19:55.245752] <172.16.103.57:59238>: Pressed a
[2016-05-07 21:19:56.281639] <172.16.103.57:59238>: Pressed b
[2016-05-07 21:19:56.281706] <172.16.103.57:59238>: Released a
[2016-05-07 21:19:56.284152] <172.16.103.57:59238>: Released b
[2016-05-07 21:19:56.284363] <172.16.103.57:59238>: Pressed c
[2016-05-07 21:19:56.284419] <172.16.103.57:59238>: Released c
[2016-05-07 21:19:56.363234] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:19:57.285713] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:19:57.285852] <172.16.103.57:59238>: Released d
[2016-05-07 21:19:57.344519] <172.16.103.57:59238>: Released f
[2016-05-07 21:19:57.345596] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:19:57.345659] <172.16.103.57:59238>: Released g
[2016-05-07 21:19:57.409050] <172.16.103.57:59238>: Pressed h
[2016-05-07 21:19:58.279966] <172.16.103.57:59238>: Released h
[2016-05-07 21:19:58.280060] <172.16.103.57:59238>: Pressed u
[2016-05-07 21:19:58.280098] <172.16.103.57:59238>: Released u
[2016-05-07 21:19:58.280140] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:19:58.280213] <172.16.103.57:59238>: Released j
[2016-05-07 21:19:58.280278] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:19:58.305076] <172.16.103.57:59238>: Released k
[2016-05-07 21:19:58.324036] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:19:58.392366] <172.16.103.57:59238>: Released l
[2016-05-07 21:19:58.422442] <172.16.103.57:59238>: Pressed m
[2016-05-07 21:19:58.542130] <172.16.103.57:59238>: Released m
[2016-05-07 21:19:58.602196] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:19:58.732024] <172.16.103.57:59238>: Released o
[2016-05-07 21:19:59.361362] <172.16.103.57:59238>: Pressed <Backspace>
[2016-05-07 21:19:59.491611] <172.16.103.57:59238>: Released <Backspace>
[2016-05-07 21:19:59.652071] <172.16.103.57:59238>: Pressed n
[2016-05-07 21:19:59.800008] <172.16.103.57:59238>: Released n
[2016-05-07 21:19:59.839263] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:19:59.889697] <172.16.103.57:59238>: Released o
[2016-05-07 21:20:00.779537] <172.16.103.57:59238>: Pressed p
[2016-05-07 21:20:00.781349] <172.16.103.57:59238>: Released p
[2016-05-07 21:20:00.781525] <172.16.103.57:59238>: Pressed q
[2016-05-07 21:20:00.781568] <172.16.103.57:59238>: Released q
[2016-05-07 21:20:00.781597] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:20:00.884670] <172.16.103.57:59238>: Released r
[2016-05-07 21:20:01.055861] <172.16.103.57:59238>: Pressed s
[2016-05-07 21:20:01.207500] <172.16.103.57:59238>: Released s
[2016-05-07 21:20:01.335919] <172.16.103.57:59238>: Pressed t
[2016-05-07 21:20:01.435745] <172.16.103.57:59238>: Released t
[2016-05-07 21:20:01.745150] <172.16.103.57:59238>: Pressed u
[2016-05-07 21:20:01.894817] <172.16.103.57:59238>: Released u
[2016-05-07 21:20:01.934744] <172.16.103.57:59238>: Pressed v
[2016-05-07 21:20:02.044355] <172.16.103.57:59238>: Released v
[2016-05-07 21:20:02.314550] <172.16.103.57:59238>: Pressed w
[2016-05-07 21:20:02.444523] <172.16.103.57:59238>: Released w
[2016-05-07 21:20:02.734126] <172.16.103.57:59238>: Pressed x
[2016-05-07 21:20:02.884197] <172.16.103.57:59238>: Pressed y
[2016-05-07 21:20:02.894381] <172.16.103.57:59238>: Released x
[2016-05-07 21:20:03.033976] <172.16.103.57:59238>: Released y
[2016-05-07 21:20:03.075329] <172.16.103.57:59238>: Pressed z
[2016-05-07 21:20:03.205150] <172.16.103.57:59238>: Released z
[2016-05-07 21:20:05.205228] <172.16.103.57:59238>: Pressed <Backspace>
[2016-05-07 21:20:05.326414] <172.16.103.57:59238>: Released <Backspace>
[2016-05-07 21:20:07.779670] <172.16.103.57:59238>: Pressed <Backspace>
[2016-05-07 21:20:07.779825] <172.16.103.57:59238>: Released <Backspace>
[2016-05-07 21:20:10.797502] <172.16.103.57:59238>: Pressed a
[2016-05-07 21:20:11.779488] <172.16.103.57:59238>: Released a
[2016-05-07 21:20:11.779605] <172.16.103.57:59238>: Pressed b
[2016-05-07 21:20:11.779767] <172.16.103.57:59238>: Released b
[2016-05-07 21:20:11.779806] <172.16.103.57:59238>: Pressed c
[2016-05-07 21:20:11.779834] <172.16.103.57:59238>: Released c
[2016-05-07 21:20:11.892747] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:20:11.993681] <172.16.103.57:59238>: Released d
[2016-05-07 21:20:12.133361] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:20:12.283162] <172.16.103.57:59238>: Released e
[2016-05-07 21:20:12.412146] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:20:12.531665] <172.16.103.57:59238>: Released f
[2016-05-07 21:20:12.680185] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:20:12.770870] <172.16.103.57:59238>: Released g
[2016-05-07 21:20:12.931473] <172.16.103.57:59238>: Pressed h
[2016-05-07 21:20:13.080909] <172.16.103.57:59238>: Released h
[2016-05-07 21:20:13.269938] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:20:13.440067] <172.16.103.57:59238>: Released i
[2016-05-07 21:20:13.478057] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:20:13.608228] <172.16.103.57:59238>: Released j
[2016-05-07 21:20:13.686677] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:20:13.797346] <172.16.103.57:59238>: Released k
[2016-05-07 21:20:13.997076] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:20:14.146575] <172.16.103.57:59238>: Released l
[2016-05-07 21:20:14.185324] <172.16.103.57:59238>: Pressed m
[2016-05-07 21:20:14.295632] <172.16.103.57:59238>: Released m
[2016-05-07 21:20:14.695754] <172.16.103.57:59238>: Pressed n
[2016-05-07 21:20:14.824410] <172.16.103.57:59238>: Released n
[2016-05-07 21:20:15.779417] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:20:15.779495] <172.16.103.57:59238>: Released o
[2016-05-07 21:20:16.779836] <172.16.103.57:59238>: Pressed p
[2016-05-07 21:20:16.779907] <172.16.103.57:59238>: Released p
[2016-05-07 21:20:16.779934] <172.16.103.57:59238>: Pressed q
[2016-05-07 21:20:16.779956] <172.16.103.57:59238>: Released q
[2016-05-07 21:20:17.279573] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:20:17.279652] <172.16.103.57:59238>: Released r
[2016-05-07 21:20:17.811859] <172.16.103.57:59238>: Pressed s
[2016-05-07 21:20:17.811940] <172.16.103.57:59238>: Released s
[2016-05-07 21:20:17.812079] <172.16.103.57:59238>: Pressed t
[2016-05-07 21:20:17.812115] <172.16.103.57:59238>: Released t
[2016-05-07 21:20:18.279779] <172.16.103.57:59238>: Pressed u
[2016-05-07 21:20:18.280978] <172.16.103.57:59238>: Released u
[2016-05-07 21:20:18.779902] <172.16.103.57:59238>: Pressed v
[2016-05-07 21:20:18.780689] <172.16.103.57:59238>: Released v
[2016-05-07 21:20:18.780756] <172.16.103.57:59238>: Pressed w
[2016-05-07 21:20:18.780790] <172.16.103.57:59238>: Released w
[2016-05-07 21:20:18.780817] <172.16.103.57:59238>: Pressed x
[2016-05-07 21:20:18.780954] <172.16.103.57:59238>: Pressed y
[2016-05-07 21:20:18.806226] <172.16.103.57:59238>: Released x
[2016-05-07 21:20:18.833859] <172.16.103.57:59238>: Pressed z
[2016-05-07 21:20:18.852500] <172.16.103.57:59238>: Released y
[2016-05-07 21:20:19.001588] <172.16.103.57:59238>: Released z
[2016-05-07 21:20:23.875061] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:24.004147] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:25.094292] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:25.245090] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:26.280493] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:26.281754] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:26.281814] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:26.780483] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:26.781629] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:26.781786] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:27.280788] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:27.284275] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:27.284356] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:27.780081] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:27.780160] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:27.780192] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:27.780219] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:28.305121] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:28.305203] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:28.305233] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:28.783601] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:28.786010] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:28.786907] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:28.787087] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:29.006508] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:29.148077] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:29.756120] <172.16.103.57:59238>: Pressed a
[2016-05-07 21:20:29.904980] <172.16.103.57:59238>: Pressed b
[2016-05-07 21:20:29.917034] <172.16.103.57:59238>: Released a
[2016-05-07 21:20:30.046955] <172.16.103.57:59238>: Released b
[2016-05-07 21:20:30.134669] <172.16.103.57:59238>: Pressed c
[2016-05-07 21:20:30.264515] <172.16.103.57:59238>: Released c
[2016-05-07 21:20:30.605558] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:20:30.755563] <172.16.103.57:59238>: Released d
[2016-05-07 21:20:30.874515] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:20:31.043651] <172.16.103.57:59238>: Released e
[2016-05-07 21:20:31.154253] <172.16.103.57:59238>: Pressed f
[2016-05-07 21:20:31.254051] <172.16.103.57:59238>: Released f
[2016-05-07 21:20:31.395332] <172.16.103.57:59238>: Pressed g
[2016-05-07 21:20:31.524998] <172.16.103.57:59238>: Released g
[2016-05-07 21:20:31.544280] <172.16.103.57:59238>: Pressed h
[2016-05-07 21:20:31.714318] <172.16.103.57:59238>: Released h
[2016-05-07 21:20:32.083807] <172.16.103.57:59238>: Pressed <Caps Lock>
[2016-05-07 21:20:32.182433] <172.16.103.57:59238>: Released <Caps Lock>
[2016-05-07 21:20:32.834341] <172.16.103.57:59238>: Pressed i
[2016-05-07 21:20:32.913010] <172.16.103.57:59238>: Released i
[2016-05-07 21:20:33.463947] <172.16.103.57:59238>: Pressed j
[2016-05-07 21:20:33.561574] <172.16.103.57:59238>: Released j
[2016-05-07 21:20:33.714851] <172.16.103.57:59238>: Pressed k
[2016-05-07 21:20:33.881450] <172.16.103.57:59238>: Released k
[2016-05-07 21:20:33.970920] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:20:34.089911] <172.16.103.57:59238>: Released l
[2016-05-07 21:20:34.320597] <172.16.103.57:59238>: Pressed m
[2016-05-07 21:20:35.280223] <172.16.103.57:59238>: Released m
[2016-05-07 21:20:35.280301] <172.16.103.57:59238>: Pressed n
[2016-05-07 21:20:35.280332] <172.16.103.57:59238>: Released n
[2016-05-07 21:20:35.280360] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:20:35.280385] <172.16.103.57:59238>: Released o
[2016-05-07 21:20:35.557870] <172.16.103.57:59238>: Pressed p
[2016-05-07 21:20:35.657785] <172.16.103.57:59238>: Released p
[2016-05-07 21:20:36.286866] <172.16.103.57:59238>: Pressed q
[2016-05-07 21:20:38.281064] <172.16.103.57:59238>: Released q
[2016-05-07 21:20:38.281160] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:20:38.339220] <172.16.103.57:59238>: Released r
[2016-05-07 21:20:38.339298] <172.16.103.57:59238>: Pressed s
[2016-05-07 21:20:38.339329] <172.16.103.57:59238>: Released s
[2016-05-07 21:20:38.339770] <172.16.103.57:59238>: Pressed t
[2016-05-07 21:20:38.340129] <172.16.103.57:59238>: Released t
[2016-05-07 21:20:38.425866] <172.16.103.57:59238>: Pressed u
[2016-05-07 21:20:38.455150] <172.16.103.57:59238>: Released u
[2016-05-07 21:20:38.785385] <172.16.103.57:59238>: Pressed v
[2016-05-07 21:20:38.893163] <172.16.103.57:59238>: Released v
[2016-05-07 21:20:39.164534] <172.16.103.57:59238>: Pressed w
[2016-05-07 21:20:39.292208] <172.16.103.57:59238>: Released w
[2016-05-07 21:20:39.502163] <172.16.103.57:59238>: Pressed x
[2016-05-07 21:20:39.631364] <172.16.103.57:59238>: Released x
[2016-05-07 21:20:39.960356] <172.16.103.57:59238>: Pressed y
[2016-05-07 21:20:40.070242] <172.16.103.57:59238>: Released y
[2016-05-07 21:20:40.491452] <172.16.103.57:59238>: Pressed z
[2016-05-07 21:20:40.619303] <172.16.103.57:59238>: Released z
[2016-05-07 21:20:46.785979] <172.16.103.57:59238>: Pressed 1
[2016-05-07 21:20:47.282403] <172.16.103.57:59238>: Released 1
[2016-05-07 21:20:47.282484] <172.16.103.57:59238>: Pressed 2
[2016-05-07 21:20:47.282516] <172.16.103.57:59238>: Released 2
[2016-05-07 21:20:47.356394] <172.16.103.57:59238>: Pressed 3
[2016-05-07 21:20:47.356475] <172.16.103.57:59238>: Released 3
[2016-05-07 21:20:47.840493] <172.16.103.57:59238>: Pressed 4
[2016-05-07 21:20:47.840574] <172.16.103.57:59238>: Released 4
[2016-05-07 21:20:47.840603] <172.16.103.57:59238>: Pressed 5
[2016-05-07 21:20:48.281027] <172.16.103.57:59238>: Released 5
[2016-05-07 21:20:48.282168] <172.16.103.57:59238>: Pressed 6
[2016-05-07 21:20:48.286415] <172.16.103.57:59238>: Released 6
[2016-05-07 21:20:48.780051] <172.16.103.57:59238>: Pressed 7
[2016-05-07 21:20:48.780130] <172.16.103.57:59238>: Released 7
[2016-05-07 21:20:48.780162] <172.16.103.57:59238>: Pressed 8
[2016-05-07 21:20:48.780190] <172.16.103.57:59238>: Released 8
[2016-05-07 21:20:48.780216] <172.16.103.57:59238>: Pressed 9
[2016-05-07 21:20:48.784166] <172.16.103.57:59238>: Released 9
[2016-05-07 21:20:48.981036] <172.16.103.57:59238>: Pressed 0
[2016-05-07 21:20:49.090026] <172.16.103.57:59238>: Released 0
[2016-05-07 21:20:49.741252] <172.16.103.57:59238>: Pressed 1
[2016-05-07 21:20:49.840362] <172.16.103.57:59238>: Released 1
[2016-05-07 21:20:50.050046] <172.16.103.57:59238>: Pressed 2
[2016-05-07 21:20:50.200095] <172.16.103.57:59238>: Released 2
[2016-05-07 21:20:50.431174] <172.16.103.57:59238>: Pressed 3
[2016-05-07 21:20:50.561349] <172.16.103.57:59238>: Released 3
[2016-05-07 21:20:50.790462] <172.16.103.57:59238>: Pressed 4
[2016-05-07 21:20:50.939496] <172.16.103.57:59238>: Released 4
[2016-05-07 21:20:51.229754] <172.16.103.57:59238>: Pressed 5
[2016-05-07 21:20:51.360331] <172.16.103.57:59238>: Released 5
[2016-05-07 21:20:51.650684] <172.16.103.57:59238>: Pressed 6
[2016-05-07 21:20:51.779102] <172.16.103.57:59238>: Released 6
[2016-05-07 21:20:52.009526] <172.16.103.57:59238>: Pressed 7
[2016-05-07 21:20:52.119904] <172.16.103.57:59238>: Released 7
[2016-05-07 21:20:52.367790] <172.16.103.57:59238>: Pressed 8
[2016-05-07 21:20:52.498558] <172.16.103.57:59238>: Released 8
[2016-05-07 21:20:52.769490] <172.16.103.57:59238>: Pressed 9
[2016-05-07 21:20:52.876226] <172.16.103.57:59238>: Released 9
[2016-05-07 21:20:53.296268] <172.16.103.57:59238>: Pressed 0
[2016-05-07 21:20:53.425690] <172.16.103.57:59238>: Released 0
[2016-05-07 21:20:57.911827] <172.16.103.57:59238>: Pressed r
[2016-05-07 21:20:58.130314] <172.16.103.57:59238>: Released r
[2016-05-07 21:20:59.122493] <172.16.103.57:59238>: Pressed n
[2016-05-07 21:20:59.221060] <172.16.103.57:59238>: Released n
[2016-05-07 21:20:59.500814] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:20:59.620344] <172.16.103.57:59238>: Released o
[2016-05-07 21:20:59.712119] <172.16.103.57:59238>: Pressed t
[2016-05-07 21:20:59.769824] <172.16.103.57:59238>: Released t
[2016-05-07 21:20:59.960885] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:21:00.079949] <172.16.103.57:59238>: Released e
[2016-05-07 21:21:00.209088] <172.16.103.57:59238>: Pressed p
[2016-05-07 21:21:00.310237] <172.16.103.57:59238>: Released p
[2016-05-07 21:21:00.800944] <172.16.103.57:59238>: Pressed a
[2016-05-07 21:21:00.933228] <172.16.103.57:59238>: Released a
[2016-05-07 21:21:01.188777] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:21:01.297707] <172.16.103.57:59238>: Released d
[2016-05-07 21:21:01.419383] <172.16.103.57:59238>: Pressed <Enter>
[2016-05-07 21:21:01.548322] <172.16.103.57:59238>: Released <Enter>
[2016-05-07 21:21:03.029710] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:21:03.178884] <172.16.103.57:59238>: Released l
[2016-05-07 21:21:03.198927] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:21:03.298414] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:21:03.309138] <172.16.103.57:59238>: Released o
[2016-05-07 21:21:03.457232] <172.16.103.57:59238>: Released l
[2016-05-07 21:21:03.481541] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:21:03.576047] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:21:03.586462] <172.16.103.57:59238>: Released o
[2016-05-07 21:21:03.685433] <172.16.103.57:59238>: Released l
[2016-05-07 21:21:03.725766] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:21:03.814552] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:21:03.824381] <172.16.103.57:59238>: Released o
[2016-05-07 21:21:03.943630] <172.16.103.57:59238>: Released l
[2016-05-07 21:21:03.984545] <172.16.103.57:59238>: Pressed o
[2016-05-07 21:21:04.112763] <172.16.103.57:59238>: Pressed l
[2016-05-07 21:21:04.124441] <172.16.103.57:59238>: Released o
[2016-05-07 21:21:04.272334] <172.16.103.57:59238>: Released l
[2016-05-07 21:21:05.133277] <172.16.103.57:59238>: Pressed <Space>
[2016-05-07 21:21:05.262093] <172.16.103.57:59238>: Released <Space>
[2016-05-07 21:21:07.299443] <172.16.103.57:59238>: Pressed h
[2016-05-07 21:21:07.299523] <172.16.103.57:59238>: Released h
[2016-05-07 21:21:07.299555] <172.16.103.57:59238>: Pressed a
[2016-05-07 21:21:07.299582] <172.16.103.57:59238>: Released a
[2016-05-07 21:21:08.281132] <172.16.103.57:59238>: Pressed c
[2016-05-07 21:21:08.281952] <172.16.103.57:59238>: Released c
[2016-05-07 21:21:08.282014] <172.16.103.57:59238>: Pressed e
[2016-05-07 21:21:08.284314] <172.16.103.57:59238>: Released e
[2016-05-07 21:21:08.292663] <172.16.103.57:59238>: Pressed d
[2016-05-07 21:21:08.292743] <172.16.103.57:59238>: Released d
[2016-05-07 21:21:09.085019] <172.16.103.57:59238>: Pressed <Backspace>
[2016-05-07 21:21:09.173519] <172.16.103.57:59238>: Released <Backspace>
[2016-05-07 21:21:09.442953] <172.16.103.57:59238>: Pressed <Backspace>
[2016-05-07 21:21:09.622607] <172.16.103.57:59238>: Released <Backspace>
